id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
72448955;4067609155;HH;H;1;4900;2022-11-20 12:14:25+00;660;0;12434;111414122;73166731;"{""legs"": [[1000706, 1000632, 12]], ""id_trips"": [72448955], ""id_zones"": [1000632], ""id_staypoints"": [68056393, 68056393]}"
73166731;4067609155;HOH;HOH;2;2800;2022-11-20 15:52:39+00;984;253;140804;72448955;81131235;"{""legs"": [[1000632, 1000621, 15], [1000605, 1000632, 16]], ""id_trips"": [73166731, 73422743], ""id_zones"": [1000632, 1000621, 1000632], ""id_staypoints"": [68056393, 73170165, 68056393]}"
81131235;4067609155;HWH;HWH;2;13400;2022-11-22 07:15:47+00;34389;32229;5089;73166731;86200209;"{""legs"": [[1000632, 1000511, 7], [1000511, 1000632, 16]], ""id_trips"": [81131235, 85270897], ""id_zones"": [1000632, 1000511, 1000632], ""id_staypoints"": [68056393, 44578140, 68056393]}"
86200209;4067609155;HOH;HOH;2;8100;2022-11-22 18:13:45+00;10358;9058;36610;81131235;88030800;"{""legs"": [[1000632, 1000705, 18], [1000705, 1000632, 20]], ""id_trips"": [86200209, 86644845], ""id_zones"": [1000632, 1000705, 1000632], ""id_staypoints"": [68056393, 43072854, 68056393]}"
88030800;4067609155;HWH;HWH;2;13500;2022-11-23 07:16:33+00;34611;32517;1629;86200209;93099092;"{""legs"": [[1000632, 1000511, 7], [1000511, 1000632, 16]], ""id_trips"": [88030800, 92550717], ""id_zones"": [1000632, 1000511, 1000632], ""id_staypoints"": [68056393, 44578140, 68056393]}"
93099092;4067609155;HOH;HOH;2;10200;2022-11-23 17:20:33+00;5654;3224;323464;88030800;72536721;"{""legs"": [[1000632, 1001008, 17], [1001007, 1000632, 18]], ""id_trips"": [93099092, 93595146], ""id_zones"": [1000632, 1001008, 1000632], ""id_staypoints"": [68056393, 68434363, 68056393]}"
72536721;4067609155;HH;H;1;1400;2022-11-27 12:45:51+00;257;0;5072;93099092;72900398;"{""legs"": [[1000629, 1000632, 12]], ""id_trips"": [72536721], ""id_zones"": [1000632], ""id_staypoints"": [68056393, 68056393]}"
72900398;4067609155;HH;H;1;1600;2022-11-27 14:14:40+00;215;0;5575;72536721;73241780;"{""legs"": [], ""id_trips"": [72900398], ""id_zones"": [1000632], ""id_staypoints"": [68056393, 68056393]}"
73241780;4067609155;HOH;HOH;2;5500;2022-11-27 15:51:10+00;1977;743;139756;72900398;81253304;"{""legs"": [[1000632, 1000935, 15], [1000935, 1000632, 16]], ""id_trips"": [73241780, 73508085], ""id_zones"": [1000632, 1000935, 1000632], ""id_staypoints"": [68056393, 73494456, 68056393]}"
81253304;4067609155;HWH;HWH;2;13200;2022-11-29 07:13:23+00;34769;32554;5143;73241780;86279497;"{""legs"": [[1000632, 1000511, 7], [1000511, 1000632, 16]], ""id_trips"": [81253304, 85374200], ""id_zones"": [1000632, 1000511, 1000632], ""id_staypoints"": [68056393, 44578140, 68056393]}"
86279497;4067609155;HOH;HOH;2;7900;2022-11-29 18:18:35+00;9326;7970;37078;81253304;88138527;"{""legs"": [[1000632, 1000705, 18], [1000705, 1000632, 20]], ""id_trips"": [86279497, 86661295], ""id_zones"": [1000632, 1000705, 1000632], ""id_staypoints"": [68056393, 43072854, 68056393]}"
88138527;4067609155;HH;H;2;13500;2022-11-30 07:11:59+00;34719;32329;25761;86279497;;"{""legs"": [[1000632, 1000511, 7], [1000511, 1000632, 16]], ""id_trips"": [88138527, 92656720], ""id_zones"": [1000632], ""id_staypoints"": [68056393, 68056393]}"
70162639;5804248155;HOOOOOOH;HOH;7;34100;2022-10-01 19:37:02+00;16115;12035;18897;69884595;24523098;"{""legs"": [[1001303, 1001334, 19], [1001334, 1001314, 20], [1001314, 1001334, 23], [1001334, 1001362, 23], [1001362, 1001303, 0]], ""id_trips"": [70162639, 70306491, 70485976, 70628757, 70777631, 70784341, 24316007], ""id_zones"": [1001303, 1001312, 1001314, 1001312, 1001362, 1001303], ""id_staypoints"": [66975120, 70301797, 70306478, 70306478, 70306478, 70301797, 70784463, 66975120]}"
24523098;5804248155;HOOH;HOH;3;49500;2022-10-02 05:20:34+00;49616;44991;51391;70162639;32158806;"{""legs"": [[1001303, 1000637, 5], [1000641, 1001325, 18], [1001325, 1001303, 19]], ""id_trips"": [24523098, 29007259, 29282484], ""id_zones"": [1001303, 1000637, 1001325, 1001303], ""id_staypoints"": [66975120, 24527499, 29039389, 66975120]}"
32158806;5804248155;HOH;HOH;2;2200;2022-10-03 09:24:01+00;2813;2367;5132;24523098;33189125;"{""legs"": [], ""id_trips"": [32158806, 32636743], ""id_zones"": [1001303], ""id_staypoints"": [66975120, 32158961, 66975120]}"
33189125;5804248155;HWH;HWH;2;38000;2022-10-03 11:36:26+00;25609;22314;42571;32158806;38152964;"{""legs"": [[1001303, 1001115, 11], [1001115, 1001303, 18]], ""id_trips"": [33189125, 36677210], ""id_zones"": [1001303, 1001113, 1001303], ""id_staypoints"": [66975120, 33584618, 66975120]}"
38152964;5804248155;HOOH;HOH;3;32800;2022-10-04 06:32:46+00;12208;7505;23636;33189125;42434316;"{""legs"": [[1001303, 1001136, 6], [1001103, 1001325, 9], [1001325, 1001303, 9]], ""id_trips"": [38152964, 39479160, 39548130], ""id_zones"": [1001303, 1001133, 1001325, 1001303], ""id_staypoints"": [66975120, 38625806, 39521355, 66975120]}"
42434316;5804248155;HOH;HOH;2;3400;2022-10-04 16:30:10+00;1130;465;840;38152964;42892348;"{""legs"": [[1001303, 1001352, 16], [1001352, 1001303, 16]], ""id_trips"": [42434316, 42461491], ""id_zones"": [1001303, 1001325, 1001303], ""id_staypoints"": [66975120, 70146025, 66975120]}"
42892348;5804248155;HOOOH;HOH;4;36100;2022-10-04 17:03:00+00;63393;58857;3487;42434316;46809119;"{""legs"": [[1001303, 1001133, 4], [1001133, 1001303, 10]], ""id_trips"": [42892348, 42910162, 43964030, 46375811], ""id_zones"": [1001303, 1001325, 1001133, 1001303], ""id_staypoints"": [66975120, 32158961, 29039389, 38625806, 66975120]}"
